City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,te anau,-45.4167,167.7167,10.07,96,100,1.89,NZ,1681327245
143,saint-francois,46.4154,3.9054,7.76,73,75,2.06,FR,1681327014
144,ancud,-41.8697,-73.8203,15.87,60,100,2.25,CL,1681327246
145,kapaa,22.0752,-159.319,24.99,83,20,8.75,US,1681327247
146,avarua,-21.2078,-159.775,27.03,74,98,4.63,CK,1681327247
147,ostrovnoy,68.0531,39.5131,-7.59,76,100,2.36,RU,1681327248
148,graaff-reinet,-32.2522,24.5308,16.62,41,100,0.35,ZA,1681327248
149,pontalina,-17.525,-49.4472,27.56,66,87,0.07,BR,1681327248
150,tyrma,50.0833,132.1667,-2.22,95,100,0.4,RU,1681327249
151,ulaanbaatar,47.9077,106.8832,-4.93,74,0,1.0,MN,1681327101
152,vaini,-21.2,-175.2,26.09,83,20,3.09,TO,1681327249
153,barreirinhas,-2.7469,-42.8264,29.44,67,100,4.42,BR,1681327249
154,beringovskiy,63.05,179.3167,-20.01,93,67,4.7,RU,1681327250
155,lakes entrance,-37.8811,147.981,9.53,93,19,2.97,AU,1681327250
156,sao jose da coroa grande,-8.8978,-35.1478,27.61,75,96,4.81,BR,1681327250
157,neiafu,-18.65,-173.9833,27.38,83,40,3.6,TO,1681327250
158,matagami,49.7502,-77.6328,9.06,46,0,1.03,CA,1681327251
159,pisco,-13.7,-76.2167,26.03,65,0,4.12,PE,1681327251
160,daru,-9.0763,143.2092,25.15,88,97,2.04,PG,1681327252
161,zhigansk,66.7697,123.3711,-24.17,100,100,1.6,RU,1681327252
162,saskylakh,71.9167,114.0833,-13.47,91,100,7.62,RU,1681327252
163,nikolskoye,59.7035,30.7861,7.94,94,32,2.57,RU,1681327252
164,clifton,40.8584,-74.1638,29.6,24,0,8.75,US,1681327143
165,fukue,32.6881,128.8419,15.12,54,44,4.45,JP,1681327253
166,semme,46.1963,1.5007,7.23,80,0,4.9,FR,1681327253
167,ust-ishim,57.6935,71.1665,1.3,82,99,2.43,RU,1681327253
168,murgab,37.4966,61.9714,26.93,19,100,4.12,TM,1681327253
169,jiwani,25.05,61.7417,25.47,80,0,4.1,PK,1681327254
170,vila,42.0304,-8.1588,5.49,68,12,2.93,PT,1681327254
171,khilok,51.3674,110.4676,-4.74,95,97,1.27,RU,1681327254
172,east london,-33.0153,27.9116,19.81,71,100,3.13,ZA,1681327254
173,tombouctou,20.0,-3.0,30.05,8,100,4.43,ML,1681327254
174,sobolevo,54.4299,31.8996,10.56,58,100,4.07,RU,1681327255
175,gualeguay,-33.1416,-59.3097,22.24,50,90,6.22,AR,1681327255
176,fare,-16.7,-151.0167,27.95,67,71,4.53,PF,1681327255
177,kedrovyy,56.1667,91.8167,-2.77,75,100,5.09,RU,1681327255
178,faanui,-16.4833,-151.75,28.09,67,84,4.08,PF,1681327255
179,haines junction,60.7522,-137.5108,1.97,41,100,1.54,CA,1681327256
180,port augusta,-32.5,137.7667,12.37,85,11,1.44,AU,1681327256
181,rocha,-34.4833,-54.3333,19.45,71,100,6.66,UY,1681327028
182,pahrump,36.2083,-115.9839,25.17,26,100,6.26,US,1681327256
183,olafsvik,64.8945,-23.7142,4.31,73,100,3.81,IS,1681327257
184,rio grande,-32.035,-52.0986,23.06,63,88,2.07,BR,1681327257
185,castro,-24.7911,-50.0119,22.58,65,91,2.07,BR,1681327257
186,xining,36.6167,101.7667,8.85,40,100,2.77,CN,1681327257
187,sao felix do xingu,-6.6447,-51.995,28.47,78,72,1.48,BR,1681327258
188,novaya igirma,57.1334,103.9112,-9.03,96,99,1.76,RU,1681327258
189,amapa,1.0,-52.0,30.2,64,43,1.03,BR,1681327258
190,muros,42.7762,-9.0603,12.6,62,6,5.84,ES,1681327258
191,nanortalik,60.1432,-45.2371,1.02,88,100,0.71,GL,1681327258
192,puerto ayora,-0.7393,-90.3518,30.98,85,83,3.58,EC,1681327259
193,lao cai,22.4833,103.95,23.43,92,72,0.48,VN,1681327259
194,bilibino,68.0546,166.4372,-26.44,98,75,1.2,RU,1681327259
195,sinegorye,62.0788,150.477,-19.1,72,39,1.7,RU,1681327260
196,qaanaaq,77.484,-69.3632,-15.22,80,100,0.93,GL,1681327260
197,bethel,41.3712,-73.414,28.13,28,0,6.17,US,1681327260
198,chuy,-33.6971,-53.4616,19.08,88,100,5.09,UY,1681327260
199,selikhino,50.3672,137.4996,-2.09,93,100,5.43,RU,1681327261
200,azul,-36.777,-59.8585,16.86,46,100,6.26,AR,1681327261
201,ilo,-17.6394,-71.3375,24.48,73,0,4.12,PE,1681327261
202,cayenne,4.9333,-52.3333,29.02,74,75,5.66,GF,1681327174
203,hermanus,-34.4187,19.2345,15.45,80,100,3.01,ZA,1681327262
204,sochi,43.6,39.7303,11.05,96,100,3.46,RU,1681327262
205,maragogi,-9.0122,-35.2225,27.45,75,97,4.62,BR,1681327263
206,avera,33.194,-82.5271,25.86,27,4,3.4,US,1681327263
207,salinopolis,-0.6136,-47.3561,28.09,75,78,3.85,BR,1681327264
208,necochea,-38.5473,-58.7368,15.41,47,100,9.14,AR,1681327264
209,muriwai beach,-36.8167,174.45,16.86,98,30,1.88,NZ,1681327265
210,chokurdakh,70.6333,147.9167,-19.65,95,100,1.39,RU,1681327265
211,airai,-8.9266,125.4092,16.15,93,100,1.1,TL,1681327265
212,nampa,43.5407,-116.5635,9.71,40,100,6.17,US,1681327266
213,saryozek,44.3583,77.9753,6.93,57,0,2.41,KZ,1681327266
214,pevek,69.7008,170.3133,-22.04,95,95,2.03,RU,1681327267
215,kalmunai,7.4167,81.8167,27.07,80,81,1.33,LK,1681327267
216,porto novo,6.4965,2.6036,28.9,80,51,3.1,BJ,1681327268
217,chimoio,-19.1164,33.4833,17.0,97,5,1.08,MZ,1681327268
218,saint-pierre,-21.3393,55.4781,24.82,83,20,1.03,RE,1681327269
219,bogorodskoye,56.55,37.8833,9.17,64,100,2.7,RU,1681327269
220,tabou,4.423,-7.3528,27.3,84,14,2.98,CI,1681327269
221,nichinan,31.6,131.3667,12.82,85,6,1.29,JP,1681327270
222,chengde,40.9725,117.9361,8.67,39,2,0.7,CN,1681327272
223,thompson,55.7435,-97.8558,-1.91,93,100,2.57,CA,1681327272
224,qitaihe,45.8,130.85,0.65,48,18,2.92,CN,1681327273
225,talcahuano,-36.7167,-73.1167,16.82,82,75,4.12,CL,1681327273
226,baghdad,33.3406,44.4009,15.95,94,75,11.32,IQ,1681327009
227,tazovskiy,67.4667,78.7,-26.03,100,97,4.46,RU,1681327274
228,awjilah,29.1081,21.2869,19.36,27,0,4.07,LY,1681327274
229,orange,33.7,-117.7675,19.25,85,100,2.06,US,1681327265
230,cloquet,46.7216,-92.4594,22.52,44,0,5.14,US,1681327139
231,port alfred,-33.5906,26.891,17.88,84,100,0.45,ZA,1681327275
232,sweetwater,25.7634,-80.3731,25.56,91,100,5.81,US,1681327276
233,de-kastri,51.4667,140.7833,-2.43,96,100,3.99,RU,1681327276
234,kieta,-6.2167,155.6333,25.37,86,100,1.18,PG,1681327276
235,malakal,9.5334,31.6605,33.52,36,100,1.36,SS,1681327277
236,kamenka,51.3223,42.7678,10.78,54,100,4.67,RU,1681327277
237,muroto,33.2833,134.15,14.29,64,0,2.87,JP,1681327256
238,semnan,35.5729,53.3971,21.45,28,98,0.61,IR,1681327278
239,bathsheba,13.2167,-59.5167,29.34,58,40,8.23,BB,1681327278
240,cherskiy,68.75,161.3,-28.36,100,100,2.26,RU,1681327278
241,williams lake,52.1415,-122.1445,6.7,72,75,1.03,CA,1681327279
242,azanka,58.0401,64.7893,2.89,78,82,2.27,RU,1681327280
243,rumonge,-3.9736,29.4386,22.45,83,87,1.64,BI,1681327280
244,oyama,36.3,139.8,15.33,50,14,2.42,JP,1681327281
245,mayumba,-3.432,10.6554,26.93,85,97,2.79,GA,1681327036
246,kusa,55.3383,59.4406,3.99,74,30,1.96,RU,1681327282
247,kahului,20.8947,-156.47,26.02,59,0,7.72,US,1681327282
248,broome,42.2506,-75.833,26.48,35,20,10.29,US,1681327282
249,khani,41.9563,42.9566,5.76,98,100,1.44,GE,1681327283
250,salinas,36.6777,-121.6555,16.67,61,40,7.72,US,1681327283
251,ferrenafe,-6.6389,-79.7889,29.9,58,75,5.66,PE,1681327284
252,portland,45.5234,-122.6762,8.16,85,100,5.14,US,1681326720
253,bukama,-9.2,25.85,22.28,94,100,0.48,CD,1681327284
254,banda aceh,5.5577,95.3222,26.91,81,73,2.76,ID,1681327285
255,solwezi,-12.1688,26.3894,17.37,96,100,1.72,ZM,1681327285
256,porto torres,40.835,8.3972,16.1,81,0,4.53,IT,1681327285
257,sorrento,40.626,14.3744,14.76,94,0,0.0,IT,1681326949
258,manyana,-23.4,21.7167,22.28,30,0,4.09,BW,1681327286
259,hutchinson,38.0608,-97.9298,27.24,37,0,9.77,US,1681327154
260,hasaki,35.7333,140.8333,11.22,57,100,9.98,JP,1681327287
261,berlevag,70.8578,29.0864,-2.03,64,0,7.2,NO,1681327288
